method,target_coverage,n,admitted,wrong,correct,coverage,wrong_all,wrong_admitted,correct_all
quality_weighted_fusion,0.17,31200.0,5307.0,334.0,4973.0,0.17009615384615384,0.010705128205128206,0.06293574524213304,0.15939102564102564
quality_weighted_fusion,0.18,31200.0,5612.0,529.0,5083.0,0.17987179487179486,0.016955128205128206,0.0942622950819672,0.16291666666666665
quality_weighted_fusion,0.19,31200.0,5927.0,797.0,5130.0,0.18996794871794873,0.025544871794871794,0.13446937742534165,0.16442307692307692
quality_weighted_fusion,0.2,31200.0,6240.0,1094.0,5146.0,0.2,0.03506410256410256,0.1753205128205128,0.16493589743589743
quality_weighted_fusion,0.21,31200.0,6554.0,1402.0,5152.0,0.21006410256410257,0.04493589743589744,0.21391516631065,0.16512820512820514
quality_weighted_fusion,0.22,31200.0,6862.0,1706.0,5156.0,0.21993589743589745,0.05467948717948718,0.24861556397551735,0.16525641025641025
quality_weighted_fusion,0.23,31200.0,7177.0,2019.0,5158.0,0.2300320512820513,0.06471153846153846,0.2813153128047931,0.16532051282051283
quality_weighted_fusion,0.24,31200.0,7490.0,2332.0,5158.0,0.24006410256410257,0.07474358974358974,0.31134846461949267,0.16532051282051283
quality_weighted_fusion,0.25,31200.0,7798.0,2639.0,5159.0,0.24993589743589745,0.08458333333333333,0.3384201077199282,0.1653525641025641
quality_weighted_fusion,0.26,31200.0,8107.0,2944.0,5163.0,0.2598397435897436,0.09435897435897436,0.3631429628715925,0.16548076923076924
quality_weighted_fusion,0.27,31200.0,8420.0,3251.0,5169.0,0.26987179487179486,0.10419871794871795,0.386104513064133,0.16567307692307692
quality_weighted_fusion,0.28,31200.0,8736.0,3525.0,5211.0,0.28,0.11298076923076923,0.40350274725274726,0.16701923076923078
quality_weighted_fusion,0.29,31200.0,9052.0,3788.0,5264.0,0.29012820512820514,0.1214102564102564,0.4184710561201944,0.1687179487179487
quality_weighted_fusion,0.3,31200.0,9358.0,4015.0,5343.0,0.29993589743589744,0.12868589743589742,0.42904466766403077,0.17125
quality_weighted_fusion,0.31,31200.0,9669.0,4132.0,5537.0,0.30990384615384614,0.13243589743589743,0.42734512359085736,0.17746794871794871
quality_weighted_fusion,0.32,31200.0,9982.0,4137.0,5845.0,0.31993589743589745,0.13259615384615384,0.41444600280504906,0.1873397435897436
quality_weighted_fusion,0.33,31200.0,10301.0,4177.0,6124.0,0.3301602564102564,0.13387820512820514,0.4054946121735754,0.19628205128205128
quality_weighted_fusion,0.34,31200.0,10610.0,4255.0,6355.0,0.3400641025641026,0.13637820512820512,0.4010367577756833,0.20368589743589743
quality_weighted_fusion,0.35,31200.0,10921.0,4331.0,6590.0,0.3500320512820513,0.13881410256410256,0.3965754051826756,0.21121794871794872
quality_weighted_fusion,0.36,31200.0,11235.0,4427.0,6808.0,0.36009615384615384,0.14189102564102565,0.3940364931019137,0.21820512820512822
quality_weighted_fusion,0.37,31200.0,11548.0,4529.0,7019.0,0.3701282051282051,0.1451602564102564,0.39218912365777625,0.22496794871794873
quality_weighted_fusion,0.38,31200.0,11857.0,4654.0,7203.0,0.3800320512820513,0.14916666666666667,0.3925107531416041,0.2308653846153846
quality_weighted_fusion,0.39,31200.0,12170.0,4811.0,7359.0,0.39006410256410257,0.15419871794871795,0.39531635168447,0.23586538461538462
